id,name,year,status,type,country,genres,rating,watched_date,note
44,Blade Runner 2049,2017,completed,movie,US,"action,adventure,sci-fi,mystery",10.0,2025-04-17,
45,The Wild Robot,2024,completed,movie,US,"animation,family,adventure,sci-fi",10.0,2025-04-21,
46,Weak Hero Class 2,2025,completed,series,Korea,"friendship,school,action",8.0,2025-04-26,
47,Migration,2023,completed,movie,US,"comedy,animation,family,adventure",7.0,2025-05-14,
48,10 Cloverfield Lane,2016,completed,movie,US,"sci-fi,horror,thriller",8.0,2025-07-16,
49,Skycrapper,2018,completed,movie,US,"action,adventure",7.0,2025-07-18,
50,Ghost cat Anzu,2024,completed,movie,Japan,"animation,adventure,fantasy",6.0,2025-09-07,
51,Look Back,2024,completed,movie,Japan,"animation,coming of age",5.0,2025-09-07,
52,Study Group,2025,completed,series,Korea,"school,action",8.0,2025-09-07,
53,Light Shop,2024,completed,series,Korea,"supernatural,death,mystery,horror,thriller",10.0,2025-09-09,
54,Head Over Heels,2025,completed,series,Korea,"romance,school,supernatural,fantasy",8.0,2025-09-04,
55,Our Unwritten Seoul,2025,completed,series,Korea,"comedy,romance,family,healing,life",10.0,2025-09-18,
56,Dune,2021,waiting,movie,US,"action,adventure,sci-fi",,,
57,The Wold of Wall Street,2013,waiting,movie,US,"comedy,crime",,,
58,John Wick 4,2023,waiting,movie,US,"action,crime,thriller",,,
59,Inception,2010,waiting,movie,US,"action,sci-fi,thriller,epic",,,
60,Interstella,2014,waiting,movie,US,"time travel,adventure,sci-fi,epic",,,
61,The Boy and the Beast,2015,waiting,movie,Japan,"animation,adventure,fantasy",,,
62,Her,2013,waiting,movie,US,"comedy,romance,sci-fi",,,
63,Soul,2020,waiting,movie,US,animation,,,
64,The Social Network,2010,waiting,movie,US,biography,,,
65,Sonny Boy,2021,waiting,series,Japan,"animation,sci-fi",,,
66,Frieren,2023,waiting,series,Japan,"animation,adventure,fantasy",,,
67,Anora,2024,waiting,movie,US,"comedy,romance",,,
68,Peaky Blinder,2013,waiting,series,US,crime,,,
69,Cyberpunk: Edgerunners,2022,waiting,series,Japan,"animation,action,sci-fi",,,
70,La La land,2016,waiting,movie,US,"comedy,romance,music",,,
71,Deep Sea,2023,waiting,movie,China,"animation,adventure,fantasy",,,
72,Youth of May,2021,waiting,series,Korea,romance,,,
73,Extraordinary Attorney Woo,2022,waiting,series,Korea,"romance,law,life",,,
74,500 Days of Summer,2009,waiting,movie,US,"comedy,romance",,,
75,Five Feet Apart,2019,waiting,movie,US,romance,,,
76,The Godfather,1972,waiting,movie,US,crime,,,
77,Forrest Gump,1994,waiting,movie,US,romance,,,
78,Whiplash,2014,waiting,movie,US,"music,drama",,,
79,Miracle in Cell No 7,2013,waiting,movie,Korea,comedy,,,
80,The End of the F***ing World,2017,waiting,series,US,"romance,adventure,dark comedy",,,
81,The Martian,2015,waiting,movie,US,"adventure,sci-fi",,,
82,Lady Bird,2017,waiting,movie,US,"comedy,coming of age",,,
83,3 Idiots,2009,waiting,movie,,"comedy,friendship",,,
84,The Imitation Game,2014,waiting,movie,US,"thriller,biography,war",,,
85,Oppenheimer,2023,waiting,movie,US,"biography,history",,,
86,Baby Driver,2017,waiting,movie,US,"action,music,crime",,,
87,The Shawshank Redemption,1994,waiting,movie,US,"friendship,epic",,,
88,The Intouchables,2011,waiting,movie,,comedy,,,
89,Parasite,2019,waiting,movie,Korea,"thriller,dark comedy",,,
90,The Prestige,2006,waiting,movie,US,"sci-fi,mystery,thriller",,,
91,Summer Ghost,2011,waiting,movie,Japan,"animation,fantasy",,,
92,"Love, Death & Robots",2019,waiting,series,US,"animation,sci-fi,dark comedy",,,
93,Under the Hawthorn Tree,2010,waiting,movie,China,romance,,,
94,Fight Club,1999,waiting,movie,US,"crime,thriller,dark comedy",,,
95,Flow,2024,waiting,movie,US,"animation,adventure",,,
96,Train to Busan,2016,waiting,movie,Korea,"action,zombie",,,
97,David Attenborough: A Life on Our Planet,2020,waiting,movie,US,"biography,documentary",,,
98,Tenet,2020,waiting,movie,US,"time travel,action,sci-fi",,,
99,Who Am I,2014,waiting,movie,,"mystery,crime,thriller",,,
100,The Pursuit of Happyness,2006,waiting,movie,US,biography,,,
101,Cowboy Bebop,1998,waiting,series,Japan,"animation,action,adventure,sci-fi",,,
102,Prisoners,2013,waiting,movie,US,"mystery,crime,thriller",,,
103,The Pianist,2002,waiting,movie,US,"music,epic,biography,war",,,
